序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
1,300972,万辰集团,SZ,226.81,0.98,中盘股、融资融券、行业龙头、乡村振兴、昨日高振幅、深股通、中盘成长、中证500、深成500、乳业、农业种植、土地流转、海峡两岸、创业板综、新零售、2025年报预增、谷子经济,440.50亿,否,食品饮料-休闲食品-零食,2.210,234.53,219.10,1.63,1.14,291.26万,6.66亿,17.49,23.4973,404.14亿
2,000423,东阿阿胶,SZ,55.00,0.36,中盘股、融资融券、乡村振兴、数字经济、深股通、高股息精选、中证500、旅游概念、标准普尔、深成500、预制菜概念、华为概念、创投、电商概念、农业种植、中药概念、央国企改革、超级品牌、央视50_、富时罗素、MSCI中国,354.19亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.200,55.56,54.15,0.92,0.75,588.97万,3.25亿,19.47,3.2817,353.57亿
3,600737,中粮糖业,SH,15.05,1.55,中盘股、味蕾经济、融资融券、乡村振兴、西部大开发、新疆振兴、高股息精选、中盘成长、上证380、中证500、沪股通、农业种植、央国企改革、调味品概念、中字头、富时罗素、MSCI中国,321.90亿,否,农林牧渔-农产品加工-其他农产品加工,0.230,15.12,14.60,1.38,1.37,2941.36万,4.40亿,37.26,2.7674,321.90亿
4,601118,海南橡胶,SH,7.19,1.70,军工、中盘股、融资融券、乡村振兴、昨日高振幅、海南自贸、中盘成长、中证500、沪股通、电商概念、农业种植、土地流转、央国企改革、免税店、碳中和、降解塑料,307.69亿,否,农林牧渔-种植业-其他种植业,0.120,7.23,7.01,1.14,0.97,4880.42万,3.50亿,-58.03,3.2166,307.69亿
5,600598,北大荒,SH,16.75,0.90,中盘股、区块链、融资融券、乡村振兴、玉米、东北振兴、化肥、高股息精选、俄乌冲突概念、上证380、中证500、养老金、沪股通、标准普尔、黑龙江自贸区、生态农业、农业种植、土地流转、大豆、央国企改革、富时罗素、MSCI中国、粮食概念、参股银行,297.76亿,否,农林牧渔-种植业-粮食种植,0.150,16.81,16.48,1.63,1.13,2892.07万,4.82亿,12.81,3.4701,297.76亿
6,600704,物产中大,SH,5.12,0.00,中盘股、区块链、数字经济、参股保险、长期破净、农业种植、中俄贸易概念、统一大市场、辅助生殖、富时罗素、粮食概念、阿里概念、机器人概念、中越经济一体化、内贸流通、融资融券、高股息精选、上证380、半导体概念、电商概念、海洋经济、长江三角、快递概念、共同富裕示范区、参股期货、新能源车、标准普尔、创投、民爆概念、跨境电商、汽车拆解、储能概念、央国企改革、DeepSeek概念、人工智能、小金属概念、MSCI中国、脑机接口、化债(AMC)概念、医疗器械概念、医美概念、中证500、沪股通、养老概念、IPO受益、新材料、小米汽车、大豆、一带一路、中欧经济一体化、白酒、参股银行、特斯拉概念,264.76亿,否,交通运输-物流-原材料供应链服务,0.000,5.15,5.07,0.92,0.75,4770.84万,2.43亿,6.82,0.6282,264.76亿
7,600566,济川药业,SH,27.69,0.62,中盘股、数字经济、病毒防治、儿童用药、标准普尔、创投、仿制药一致性评价、农业种植、医药电商、中药概念、富时罗素、重组蛋白、创新药、中盘价值、融资融券、家庭医生、高股息精选、上证380、中证500、沪股通、旅游概念、价值股、肝炎概念、三胎概念、流感、病原体防治、幽门螺杆菌概念、参股银行、维生素,255.21亿,否,医药生物-中药Ⅱ-中药Ⅲ,0.170,27.88,27.21,0.65,0.72,599.71万,1.66亿,15.94,1.7019,254.35亿
8,000833,粤桂股份,SZ,31.72,9.99,粤港澳大湾区、2026—季报预增、融资融券、乡村振兴、西部大开发、昨日高振幅、化肥、深股通、近期新高、TOPCON电池、光伏概念、小盘股、2025三季报预增、农业种植、土地流转、历史新高 、锂电池概念、央国企改革、百日新高 、磷化工、广东自贸区、2025年报预增、小盘成长,254.42亿,否,综合-综合Ⅱ-综合Ⅲ,2.880,31.72,28.93,14.37,1.29,6518.42万,19.73亿,29.49,6.1224,143.91亿
9,301035,润丰股份,SZ,84.75,-3.21,小盘股、农业种植、融资融券、农药兽药、深股通、贬值受益、创业板综、2025年报预增、草甘膦、小盘价值,237.95亿,否,基础化工-农化制品-农药,-2.810,87.85,84.50,0.49,0.74,137.26万,1.17亿,35.99,3.0955,237.58亿
10,002326,永太科技,SZ,24.46,-0.53,钠离子电池、六氟磷酸锂、融资融券、昨日高振幅、液冷概念、深股通、冷却液、标准普尔、宁德时代概念、小盘股、氟化工概念、电池技术、VC添加剂、电解液添加剂、仿制药一致性评价、农业种植、锂电池概念、中药概念、碳酸亚乙烯酯VC、富时罗素、锂矿概念、长江三角,226.29亿,否,基础化工-化学制品-氟化工,-0.130,25.25,24.01,6.52,0.72,5273.18万,12.96亿,54.05,8.1396,197.68亿
