序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,概念,总市值(元) 2026.04.30,ST股票,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,流通市值(元) 2026.04.30
1,600598,北大荒,SH,16.75,0.90,中盘股、区块链、融资融券、乡村振兴、玉米、东北振兴、化肥、高股息精选、俄乌冲突概念、上证380、中证500、养老金、沪股通、标准普尔、黑龙江自贸区、生态农业、农业种植、土地流转、大豆、央国企改革、富时罗素、MSCI中国、粮食概念、参股银行,297.76亿,否,农林牧渔-种植业-粮食种植,0.150,16.81,16.48,1.63,1.13,2892.07万,4.82亿,12.81,3.4701,297.76亿
2,600704,物产中大,SH,5.12,0.00,中盘股、区块链、数字经济、参股保险、长期破净、农业种植、中俄贸易概念、统一大市场、辅助生殖、富时罗素、粮食概念、阿里概念、机器人概念、中越经济一体化、内贸流通、融资融券、高股息精选、上证380、半导体概念、电商概念、海洋经济、长江三角、快递概念、共同富裕示范区、参股期货、新能源车、标准普尔、创投、民爆概念、跨境电商、汽车拆解、储能概念、央国企改革、DeepSeek概念、人工智能、小金属概念、MSCI中国、脑机接口、化债(AMC)概念、医疗器械概念、医美概念、中证500、沪股通、养老概念、IPO受益、新材料、小米汽车、大豆、一带一路、中欧经济一体化、白酒、参股银行、特斯拉概念,264.76亿,否,交通运输-物流-原材料供应链服务,0.000,5.15,5.07,0.92,0.75,4770.84万,2.43亿,6.82,0.6282,264.76亿
3,301301,川宁生物,SZ,10.03,2.77,中盘股、合成生物、融资融券、西部大开发、乡村振兴、玉米、新疆振兴、深股通、中证500、深成500、肝炎概念、AI制药（医疗）、土地流转、农业种植、一带一路、化妆品概念、人工智能、创业板综、智能医疗、粮食概念、维生素,223.68亿,否,医药生物-化学制药-原料药,0.270,10.73,10.00,3.24,1.92,2004.37万,2.03亿,50.50,2.8647,61.96亿
4,600186,莲花控股,SH,10.72,-0.92,2026—季报预增、东数西算、昨日高振幅、AI智能体、最近多板、东方财富热股、2025三季报预增、算力租赁、DeepSeek概念、调味品概念、超级品牌、人造肉、2025年报预增、粮食概念、味蕾经济、融资融券、算力概念、昨日首板、沪股通、半导体概念、OpenClaw算力、小盘股、电商概念、土壤修复、新零售、小盘成长、智能医疗,192.18亿,否,食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ,-0.100,11.55,10.42,26.88,1.45,4.81亿,52.85亿,33.49,10.1796,191.80亿
5,002385,大北农,SZ,3.89,-0.51,水产概念、合成生物、乡村振兴、玉米、数字经济、北交所概念、数字乡村、宠物经济、标准普尔、深成500、农村电商、乳业、预制菜概念、生物疫苗、消毒剂、互联网金融、农业种植、京津冀一体化、DeepSeek概念、奶粉、富时罗素、猪肉概念、粮食概念、移动支付、融资融券、宠物健康、深股通、俄乌冲突概念、中证500、反内卷概念、小盘价值、小盘股、三胎概念、大豆、转基因,167.27亿,否,农林牧渔-饲料-畜禽饲料,-0.020,3.91,3.87,1.73,1.05,6097.97万,2.37亿,-23.91,2.2551,137.07亿
6,601952,苏垦农发,SH,9.96,-1.39,融资融券、乡村振兴、玉米、上证380、沪股通、小盘价值、小盘股、农业种植、土地流转、大豆、央国企改革、富时罗素、粮食概念、啤酒概念、啤酒原材料,137.25亿,否,农林牧渔-种植业-粮食种植,-0.140,10.03,9.61,2.49,1.41,3437.32万,3.37亿,69.85,1.9381,137.25亿
7,000998,隆平高科,SZ,9.14,-0.76,融资融券、鸿蒙概念、乡村振兴、玉米、深股通、俄乌冲突概念、标准普尔、深成500、创投、小盘股、生态农业、农业种植、央国企改革、转基因、富时罗素、2025年报预增、基因测序、粮食概念,134.31亿,否,农林牧渔-种植业-种子,-0.070,9.21,9.11,1.67,0.80,2188.65万,2.00亿,-25.66,1.9824,120.14亿
8,000930,中粮科技,SZ,6.08,0.83,融资融券、玉米、参股期货、深股通、标准普尔、节能环保、碳交易、新能源、小盘股、生态农业、央国企改革、中字头、富时罗素、2025年报预增、小盘成长、白酒、代糖概念、粮食概念、降解塑料、破增发价股、安徽三资改革,112.87亿,否,农林牧渔-农产品加工-其他农产品加工,0.050,6.09,6.00,0.93,0.66,1724.97万,1.04亿,-23.24,1.0848,112.87亿
9,002041,登海种业,SZ,10.24,1.39,生态农业、农业种植、融资融券、乡村振兴、玉米、深股通、转基因、俄乌冲突概念、富时罗素、2025年报预增、粮食概念,90.11亿,否,农林牧渔-种植业-种子,0.140,10.29,10.02,1.40,0.72,1229.41万,1.25亿,66.77,2.4391,90.11亿
10,000019,深粮控股,SZ,7.69,-0.77,中越经济一体化、AB股、内贸流通、昨日高振幅、深股通、数字乡村、标准普尔、深圳特区、预制菜概念、深圳国企改革、一带一路、央国企改革、调味品概念、粮食概念、冷链物流,88.63亿,否,农林牧渔-农产品加工-粮油加工,-0.060,7.86,7.59,4.27,0.62,1775.83万,1.37亿,34.12,1.7538,32.01亿
