序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,低位 2026.04.30,主力净额(元) 2026.04.30,成交量环比增长率 2026.04.30,ST股票,退市股(退市整理期),流通市值(元) 2026.04.30,个股题材,成交量(股) 2026.04.29,成交量(股) 2026.04.30,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30
1,002400,省广集团,SZ,8.96,5.66,符合,2.13亿,133.08,否,否,154.66亿,网红直播、抖音豆包、广东自贸、区块链、字节概念、体育产业、AIGC概念、文化传媒、区域经济、快手概念、短剧概念、AI营销、数据中心、小红书概念、创投、腾讯概念、谷歌概念、AI应用、腾讯云、腾讯元宝、人工智能、阿里巴巴概念、大数据、云计算,6665.11万,1.55亿,传媒-广告营销-营销代理,0.480,9.18,8.41,9.00,1.88,13.70亿,255.09,3.1168,156.20亿
2,300045,华力创通,SZ,22.36,3.95,符合,5333.14万,66.48,否,否,115.45亿,国产芯片、北斗导航、火箭发射、安防、智能无人机、军工装备、华为Mate、元宇宙概念、深空经济概念、华为概念、军民融合、创投、人工智能、无人驾驶、卫星互联网、成飞概念、低轨卫星、军工、军工信息化、数字孪生、大飞机、6G概念、低空经济、spacex、卫星通信、天基互联、无人机、商业航天、网络安全、国产替代、华为鸿蒙、nasa、卫星导航、航天概念、智能驾驶、VR&AR、空间站概念,1311.14万,2182.74万,国防军工-军工电子Ⅱ-军工电子Ⅲ,0.850,22.50,21.41,4.23,1.22,4.83亿,-309.81,9.7674,148.17亿
3,001233,海安集团,SZ,60.63,1.88,符合,4113.85万,141.08,否,否,21.45亿,海峡两岸,219.03万,528.05万,汽车-汽车零部件-轮胎轮毂,1.120,62.95,55.50,14.92,2.79,3.15亿,53.06,2.3904,112.76亿
4,600651,飞乐音响,SH,6.89,4.24,符合,3664.67万,121.09,否,否,172.73亿,国产芯片、小米汽车、DeepSeek概念、阶跃星辰、区域经济、LED、上海自贸,1759.61万,3890.39万,汽车-汽车零部件-汽车电子电气系统,0.280,6.99,6.63,1.55,2.33,2.66亿,684.42,6.8469,172.73亿
5,002249,大洋电机,SZ,9.38,2.96,符合,3546.86万,107.33,否,否,174.61亿,军工、广东自贸、稀土永磁、燃料电池、外骨骼机器人、新能源车、区域经济、电机、数据中心、氢能源、人形机器人、航天概念、独角兽、充电、机器人概念、充电运营、众擎,3303.46万,6849.04万,电力设备-电机Ⅱ-电机Ⅲ,0.270,9.53,9.24,3.68,2.01,6.44亿,19.34,2.2792,231.25亿
6,300377,赢时胜,SZ,16.99,1.37,符合,3310.00万,60.37,否,否,117.39亿,粤港澳大湾区、广东自贸、区块链、数字货币、ai应用、区域经济、深圳特区、AI智能体、华为概念、英伟达概念、国产软件、信创、Web3.0、互联网金融、华为昇腾、manus、AI应用、DeepSeek概念、腾讯云、人工智能、国产操作系统、稳定币概念,1775.80万,2847.83万,计算机-软件开发-垂直应用软件,0.230,17.62,16.65,4.12,1.47,4.88亿,-36.38,5.3030,127.60亿
7,002052,同洲电子,SZ,10.09,6.21,符合,3218.27万,380.38,否,否,69.56亿,锂电池、广电概念、广东自贸、锂动力电池、国产软件、供给侧改革、家电行业、国产操作系统、区域经济、物联网、深圳特区、储能,975.53万,4686.21万,家用电器-黑色家电-其他黑色家电,0.590,10.17,8.90,6.80,3.49,4.41亿,292.63,27.2558,75.92亿
8,301008,宏昌科技,SZ,31.69,3.22,符合,2352.58万,76.53,否,否,36.71亿,张雪机车概念、供给侧改革、外骨骼机器人、家电行业、人形机器人、传感器、减速器,351.62万,620.73万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,0.990,31.85,30.41,5.36,1.19,1.95亿,722.44,2.7499,41.50亿
9,688698,伟创电气,SH,68.24,3.82,符合,2201.69万,78.69,否,否,146.05亿,PLC概念、华为轴承、海工装备、科创板成分股、宇树机器人、华为机器人、灵巧手、磁悬浮压缩机、ChatGPT概念、设备制造、AI智能体、同步磁阻电机、智元机器人、人形机器人、太阳能、越疆机器人、特斯拉机器人、人工智能、减速器、机器人概念,299.39万,534.98万,机械设备-自动化设备-工控设备,2.510,69.00,65.30,2.50,1.28,3.62亿,75.59,6.1008,146.05亿
10,603567,珍宝岛,SH,7.08,6.15,符合,2064.84万,191.43,否,否,66.51亿,流感、医疗健康、双黄连、创新药、口罩、传统中药,1568.94万,4572.38万,医药生物-中药Ⅱ-中药Ⅲ,0.410,7.28,6.55,4.87,3.37,3.21亿,-9.25,1.0918,66.61亿
