序号,代码,名称,最新价(元) 11:42,涨跌幅(%) 11:42,证券类型,同公司港股简称,总市值(元) 2026.07.03,中证行业指数成份股,申万行业分类,个股题材,市盈率估值状态 截至2026.07.03最新,ST股票,蓝筹股 2026.07.02,同公司港股代码,东财行业总分类,概念,涨跌额(元) 11:42,最高价(元) 11:42,最低价(元) 11:42,换手率(%) 11:42,量比 11:42,成交量(股) 11:42,成交额(元) 11:42,市盈率(动)(倍) 2026.07.03,市净率(倍) 2026.07.03,流通市值(元) 2026.07.03
1,600519,贵州茅台,1191.31,-0.97,A股,-,1.49万亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证饮料主题指数、沪深300食品饮料指数,食品饮料-白酒Ⅱ-白酒Ⅲ,贸易战、外骨骼机器人、大消费、夜经济、景点、六部门、电商概念、关税、电子商务概念、酿酒行业、内循环、人形机器人、白酒、核心主业,估值较低,否,一线蓝筹,-,食品饮料-白酒Ⅱ-白酒Ⅲ,味蕾经济、权重股、融资融券、行业龙头、西部大开发、上证180_、证金持股、沪股通、标准普尔、一线酒企、大盘股、东方财富热股、消费风格、电商概念、HS300_、上证50_、酿酒概念、央国企改革、茅指数、超级品牌、央视50_、富时罗素、白酒、MSCI中国,-11.690,1210.14,1190.50,0.16,0.79,197.48万,23.70亿,13.67,6.3140,1.49万亿
2,002594,比亚迪,86.56,3.58,A股,比亚迪股份-R;比亚迪股份,7891.85亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指可选消费行业指数、中证全指乘用车及零部件行业指数、中证全指乘用车及零部件指数、沪深300汽车与零部件指数,汽车-乘用车-电动乘用车,汽车电子应用、弹簧、IGBT概念、ai应用、特斯拉供应商、智能穿戴、数字信号处理器、出口管制、华为昇腾、rokid、固态电池生产、AI硬件、电芯电池制造、华为汽车、区域经济、碳化硅、反内卷概念、小米机器人、国产替代、固态电池材料、高送转、智能驾驶、腾讯云、亚冬会、天神之眼、六氟磷酸锂、大消费、海南自贸、广州车展、车联网、华为概念、刀片电池、固态电池、慕尼黑、电路、分拆预期、电池概念、钠电池、人工智能、英伟达GTC大会、AI手机、储能、干昆智驾、充电装置、代工、新能源、锂电池、硫化物、电动车、新材料、小米汽车、人形机器人、比亚迪概念、减速器、国产芯片、特斯拉、深圳特区、AI智能体、盐湖提锂、禾赛科技、端侧、无人驾驶、硫化锂、充电、机器人概念、数码、储能锂电池、PEEK轻量化材料、锂动力电池、乘用车、低空经济、智能终端、soc芯片、碳酸锂、ChatGPT概念、苹果概念、智能网联、英伟达概念、磷酸铁锂、内循环、太阳能、汽车热管理、RISC-V概念、汽车整车、消费电子、宇树机器人、新能源车、灵巧手、比亚迪智驾、robotaxi、液冷服务器、DeepSeek概念、地震、广东自贸、AI眼镜、虚拟电厂、算力概念、口罩、光伏、智元机器人、关税、英雄联盟,估值较低,否,一线蓝筹,81211.HK;01211.HK,汽车-乘用车-电动乘用车,国产芯片、钠离子电池、周期股、汽车整车、深证100R、IGBT概念、高压快充、证金持股、新能源车、车联网、标准普尔、深圳特区、深成500、先进制造风格、华为概念、刀片电池、电池技术、HS300_、汽车拆解、储能概念、盐湖提锂、超级品牌、DeepSeek概念、无人驾驶、富时罗素、无线充电、MSCI中国、机器人概念、动力电池回收、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、半导体概念、大盘股、碳交易、新能源、数据中心、光伏概念、小米汽车、锂电池概念、比亚迪概念、茅指数,2.990,87.28,83.60,1.30,1.57,4547.21万,39.24亿,48.30,3.4029,3018.01亿
3,603259,药明康德,123.80,2.06,A股,药明康德,3693.89亿,中证800制药与生物科技指数、沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医药卫生行业指数、中证全指医药行业指数、中证全指医药指数、沪深300制药与生物科技指数,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、生物制造、CRO、多模态AI、ai应用、华为医疗、IND申报、临床前CRO、医药设备、AI智能体、AI医疗、固态电池、流感、医疗科技、独角兽、DeepSeek概念、人工智能、医保目录、减肥药、cxo、创新药,估值较低,否,一线蓝筹,02359.HK,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、昨日高振幅、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,2.500,124.50,119.52,1.78,0.98,4406.71万,53.84亿,19.85,4.6458,3061.92亿
4,000651,格力电器,38.15,0.39,A股,-,2136.94亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指家用电器指数、中证全指可选消费行业指数、中证全指耐用消费品行业指数、中证800耐用消费品指数、中证全指耐用消费品指数、中证红利价值指数、沪深300耐用消费品指数,家用电器-白色家电-空调,国产芯片、粤港澳大湾区、工业母机、职业教育、贸易战、大消费、ai应用、消费电子、新能源车、磁悬浮概念、小米概念、粤港自贸、专利授权、电路、智能家居、DeepSeek概念、人工智能、无人零售、电器、机器人概念、储能、AI硬件、热泵概念、广东自贸、锂动力电池、区域经济、净水概念、绿色电力、口罩、碳化硅、六部门、反内卷概念、锂电池、华为鸿蒙、关税、供给侧改革、家电行业、人形机器人、内循环、太阳能、空气能热泵、锅炉、新零售、亚冬会、特斯拉概念、光伏建筑一体化、三星,估值较低,否,一线蓝筹,-,家用电器-白色家电-空调,国产芯片、工业母机、职业教育、深证100R、证金持股、新能源车、工业互联、第三代半导体、标准普尔、深成500、预制菜概念、粤港自贸、电池技术、HS300_、储能概念、智能家居、超级品牌、央视50_、MCU芯片、MSCI中国、机器人概念、红利股、融资融券、液冷概念、深股通、净水概念、大盘股、价值股、光伏概念、消费风格、汽车一体化压铸、空气能热泵、锂电池概念、茅指数、大盘价值、新零售、智能物流、特斯拉概念,0.150,38.87,38.10,0.70,1.31,3875.28万,14.93亿,8.78,1.4057,2106.65亿
5,603288,海天味业,34.06,1.49,A股,海天味业,1993.13亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证全指食品指数、沪深300食品饮料指数、沪深300食品指数,食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ,广东自贸、关税、食品饮料、贸易战、大消费、内循环、调味品概念、区域经济,估值较低,否,一线蓝筹,03288.HK,食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ,味蕾经济、融资融券、行业龙头、上证180_、证金持股、沪股通、标准普尔、大盘股、消费风格、HS300_、茅指数、调味品概念、超级品牌、富时罗素、MSCI中国,0.500,34.48,33.81,0.29,1.27,1589.63万,5.44亿,20.39,5.3370,1893.94亿
6,600690,海尔智家,20.46,0.20,A股,海尔智家,1918.66亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指家用电器指数、中证全指可选消费行业指数、中证全指耐用消费品行业指数、中证800耐用消费品指数、中证全指耐用消费品指数、沪深300耐用消费品指数,家用电器-白色家电-冰洗,外骨骼机器人、贸易战、大消费、ai应用、工业互联网、消费电子、宠物经济、AI智能体、小米概念、专利授权、污水处理、智能家居、端侧、DeepSeek概念、人工智能、物联网、电器、应用层、智能制造、净水概念、ChatGPT概念、工业平台、养老概念、六部门、反内卷概念、电商概念、灯塔工厂、华为鸿蒙、关税、供给侧改革、电子商务概念、家电行业、内循环、人形机器人、太阳能、锅炉、亚冬会、电器自控设备、大数据、三星,估值较低,否,一线蓝筹,06690.HK,家用电器-白色家电-冰洗,上证180_、证金持股、工业互联、标准普尔、节能环保、华为概念、HS300_、智能家居、AI应用、超级品牌、DeepSeek概念、央视50_、富时罗素、无线充电、物联网、MSCI中国、阿里概念、机器人概念、融资融券、液冷概念、净水概念、沪股通、大盘股、价值股、消费风格、电商概念、空气能热泵、茅指数、大盘价值,0.040,20.75,20.37,0.45,1.13,2818.49万,5.79亿,10.31,1.5326,1279.37亿
7,300760,迈瑞医疗,139.18,-0.01,A股,-,1687.48亿,沪深300医药卫生指数、中证医药卫生指数、中证全指医药卫生指数、中证全指医疗指数、中证全指医药卫生行业指数、中证全指医疗行业指数、中证全指医疗器械指数,医药生物-医疗器械-医疗设备,DRG/DIP、多模态AI、贸易战、ai应用、医药设备、神经网络、深圳特区、AI医疗、AI智能体、华为概念、医疗科技、独角兽、DeepSeek概念、人工智能、创新药、脑机接口、重症医疗、医疗器械、蚂蚁阿福、广东自贸、医疗设备、精密制造、家庭医生、华为医疗、体外诊断、区域经济、ChatGPT概念、国产替代、关税、试剂盒、流感、内循环、七部门、医疗健康、医疗美容、呼吸机、银发经济,估值较低,否,二线蓝筹,-,医药生物-医疗器械-医疗设备,深证100R、体外诊断概念、宠物经济、深圳特区、深成500、医药医疗风格、HS300_、精准诊断、AI应用、独角兽、DeepSeek概念、富时罗素、MSCI中国、机器人概念、宁组合、医疗器械概念、融资融券、行业龙头、深股通、AIGC概念、养老金、大盘股、茅指数、创业板综、大盘价值、智能医疗,-0.020,144.06,138.50,0.66,1.29,796.90万,11.24亿,18.11,4.4153,1686.03亿
8,600887,伊利股份,24.42,-0.12,A股,-,1544.65亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证全指食品指数、沪深300食品饮料指数、沪深300食品指数,食品饮料-饮料乳品-乳品,食品饮料、贸易战、大消费、婴儿奶粉、乳品、核心乳企、食材加工供给、区域经济、托育服务、宠物经济、内蒙古自贸、乳业、三胎概念、供给侧改革、农业供改、内循环、新零售、辅助生殖、无人零售、婴童概念、育儿概念,估值较低,否,二线蓝筹,-,食品饮料-饮料乳品-乳品,西部大开发、上证180_、证金持股、宠物经济、标准普尔、乳业、华为概念、HS300_、饮料制造、超级品牌、奶粉、央视50_、富时罗素、MSCI中国、婴童概念、破增发价股、味蕾经济、融资融券、行业龙头、沪股通、大盘股、消费风格、生态农业、三胎概念、上证50_、茅指数、大盘价值、新零售,-0.030,24.78,24.37,0.47,1.02,2970.09万,7.30亿,7.16,2.8660,1536.98亿
9,600809,山西汾酒,109.08,-0.08,A股,-,1330.74亿,沪深300主要消费指数、中证主要消费指数、中证全指主要消费指数、中证全指主要消费行业指数、中证全指食品、饮料与烟草行业指数、中证800食品饮料指数、中证全指食品、饮料与烟草指数、中证饮料主题指数、沪深300食品饮料指数,食品饮料-白酒Ⅱ-白酒Ⅲ,大消费、酿酒行业、内循环、中国劲酒、白酒、核心主业,估值较低,否,二线蓝筹,-,食品饮料-白酒Ⅱ-白酒Ⅲ,二线酒企、味蕾经济、融资融券、上证180_、沪股通、标准普尔、大盘股、消费风格、HS300_、上证50_、酿酒概念、央国企改革、富时罗素、白酒、MSCI中国,-0.090,110.77,108.81,0.43,0.83,518.50万,5.69亿,6.18,2.9557,1330.74亿
10,600660,福耀玻璃,50.77,1.93,A股,福耀玻璃,1324.97亿,沪深300可选消费指数、中证可选消费指数、中证全指可选消费指数、中证全指可选消费行业指数、中证全指乘用车及零部件行业指数、中证全指乘用车及零部件指数、沪深300汽车与零部件指数、沪深300汽车零配件指数,汽车-汽车零部件-车身附件及饰件,贸易战、大消费、ai应用、汽车零部件项目定点、光伏、智能网联、英伟达概念、供给侧改革、小米汽车、人形机器人、太阳能、比亚迪概念、智能驾驶、人工智能、双十一概念、特斯拉概念,估值较低,否,二线蓝筹,03606.HK,汽车-汽车零部件-车身附件及饰件,福建自贸区、周期股、融资融券、上证180_、证金持股、贬值受益、沪股通、标准普尔、大盘股、先进制造风格、光伏概念、HS300_、小米汽车、央视50_、富时罗素、MSCI中国、特斯拉概念,0.960,51.66,49.87,0.39,0.82,783.24万,3.99亿,19.35,3.6795,1016.92亿
