序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
1,300274,阳光电源,SZ,137.41,-0.48,A股,符合,阿里云、光伏设备、新能源车、智算中心（AIDC）、专利授权、固态电池、电路、电池概念、人工智能、充电、电力行业、绿色甲醇、电控、雅下水电、储能、云计算、SST概念、算力概念、虚拟电厂、Megapack电池、碳酸锂、算电协同、绿色电力、光伏、碳化硅、新能源、反内卷概念、数据中心、氢能源、英伟达概念、智元机器人、谷歌概念、太阳能、风电、回购增持再贷款、智能电网、白马股,电力设备-光伏设备-逆变器,6.39亿,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-0.660,140.21,136.40,4.02,0.78,6387.25万,87.95亿,31.08,5.8544,2848.80亿,2184.84亿
2,002558,巨人网络,SZ,32.82,-2.06,A股,符合,手游、大消费、ai应用、影视娱乐、元宇宙概念、通义千问、AI智能体、华为概念、创投、腾讯概念、manus、AI应用、DeepSeek概念、人工智能、游戏、云游戏、AIGC概念、ChatGPT概念、华为鸿蒙、羊了个羊、VR&AR、小程序游戏、智谱AI、阿里巴巴概念、米哈游、腾讯游戏,传媒-游戏Ⅱ-游戏Ⅲ,3.93亿,传媒-游戏Ⅱ-游戏Ⅲ,2026—季报预增、鸿蒙概念、西部大开发、元宇宙概念、参股保险、网络游戏、通义千问、标准普尔、深成500、AI智能体、华为概念、创投、大盘成长、腾讯概念、互联网金融、AI游戏、AI应用、百度概念、DeepSeek概念、人工智能、蚂蚁概念、手机游戏、MSCI中国、阿里概念、云游戏、融资融券、深股通、虚拟现实、AIGC概念、中证500、养老金、旅游概念、ChatGPT概念、大盘股、电子竞技、AI编程、虚拟数字人、语音技术、文娱消费,-0.690,33.58,32.68,2.72,1.05,5178.77万,17.06亿,14.43,3.8231,623.76亿,623.76亿
3,601668,中国建筑,SH,4.91,0.20,A股,符合,数字孪生、经济工作会议、低空经济、西部大开发、破净高股息、装配建筑、算力概念、北莫走廊、工程建设、养老概念、反内卷概念、建筑业、PPP、关税、东盟自贸区概念、一带一路、风电、央企国企改革、钢材、地震,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,3.06亿,建筑装饰-房屋建设Ⅱ-房屋建设Ⅲ,PPP模式、上证180_、证金持股、水利建设、长期破净、标准普尔、工程建设、HS300_、核能核电、央国企改革、中字头、富时罗素、MSCI中国、新型城镇化、数字孪生、融资融券、行业龙头、装配建筑、高股息精选、沪股通、绿色电力、大盘股、上证50_、一带一路、中特估、大盘价值、风能、地下管网、光伏建筑一体化,0.010,4.92,4.86,0.60,1.43,2.47亿,12.09亿,3.65,0.4090,2028.83亿,2028.83亿
4,601816,京沪高铁,SH,4.90,-0.81,A股,符合,关税、贸易战、春运、新基建,交通运输-铁路公路-铁路运输,2.40亿,交通运输-铁路公路-铁路运输,公路铁路运输、权重股、融资融券、行业龙头、上证180_、沪股通、大盘股、铁路基建、HS300_、上证50_、央国企改革、中特估、富时罗素、高铁、MSCI中国,-0.040,4.94,4.90,0.30,1.36,1.46亿,7.19亿,19.07,1.1394,2397.36亿,2397.36亿
5,000157,中联重科,SZ,7.95,-1.97,A股,符合,外骨骼机器人、贸易战、乡村振兴、西部大开发、上合组织、工业互联网、宇树机器人、盾构机概念、水电、AI智能体、农业种植、人工智能、雅下水电、地震、机器人概念、新型城镇化、应急管理、中部崛起、设备更新、工业机器人、算力概念、关税、供给侧改革、农业供改、人形机器人、大豆、一带一路、制造业、工程机械、中原经济区、墨脱水电站、大数据,机械设备-工程机械-工程机械整机,2.22亿,机械设备-工程机械-工程机械整机,东数西算、乡村振兴、深证100R、证金持股、贬值受益、水利建设、工业互联、雅下水电概念、标准普尔、深成500、节能环保、新型工业化、HS300_、固态电池、农机、百度概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、破增发价股、中越经济一体化、融资融券、深股通、算力概念、工程机械概念、高股息精选、无人机、绿色电力、大盘股、氢能源、人形机器人、一带一路、大盘价值、高端装备、中欧经济一体化、参股银行,-0.160,8.18,7.93,1.72,1.49,1.21亿,9.76亿,19.44,1.1789,687.56亿,562.04亿
6,000818,航锦科技,SZ,15.32,-0.65,A股,符合,国产芯片、北斗导航、湖北国资、5G概念、燃料电池、军工装备、ai应用、光通信模块、科创板概念、存储芯片、铜缆高速连接、AI芯片、军民融合、消毒剂、创投、算力租赁、边缘计算、DeepSeek概念、人工智能、机器人概念、卫星互联网、数据要素、军工、环氧丙烷、军工信息化、算力概念、华为云、天基互联、算力芯片、gpu、数据中心、英伟达概念、氢能源、卫星导航、grok,基础化工-化学原料-氯碱,1.90亿,基础化工-化学原料-氯碱,北斗导航、国产芯片、5G概念、东数西算、昨日高振幅、化工原料、光通信模块、燃料电池概念、存储芯片、标准普尔、深成500、铜缆高速连接、军民融合、最近多板、通信技术、创投、电池技术、算力租赁、央国企改革、边缘计算、DeepSeek概念、CPO概念、人工智能、富时罗素、卫星互联网、数据要素、云计算、军工、环氧丙烷、融资融券、深股通、算力概念、半导体概念、数据中心、OpenClaw算力、小盘股、氢能源、英伟达概念、卫星导航,-0.100,16.41,15.30,11.47,1.74,7546.96万,11.81亿,156.41,4.6268,101.11亿,100.84亿
7,600809,山西汾酒,SH,143.35,0.15,A股,符合,大消费、酿酒行业、内循环、中国劲酒、白酒,食品饮料-白酒Ⅱ-白酒Ⅲ,1.81亿,食品饮料-白酒Ⅱ-白酒Ⅲ,二线酒企、味蕾经济、融资融券、上证180_、沪股通、标准普尔、大盘股、HS300_、上证50_、酿酒概念、央国企改革、富时罗素、白酒、MSCI中国,0.210,146.95,141.50,0.80,1.11,975.52万,14.10亿,8.12,3.8843,1748.82亿,1748.82亿
8,002207,*ST准油,SZ,6.87,5.05,A股,符合,深海经济、可燃冰,石油石化-油服工程-油田服务,1.75亿,石油石化-油服工程-油田服务,西部大开发、新疆振兴、昨日首板、页岩气、俄乌冲突概念、最近多板、油气资源、油气开采及服务、一带一路、央国企改革、油气设服、资源开采概念、天然气,0.330,6.87,6.70,14.85,1.18,3871.82万,2.64亿,-28.65,153.7336,18.00亿,17.92亿
9,600050,中国联通,SH,4.52,-0.44,A股,符合,国资云概念、通信概念、区块链、通信服务、5G概念、IPv6、ai应用、量子计算、DeepSeek一体机、AI智能体、华为概念、腾讯概念、华为昇腾、医疗科技、算力租赁、DeepSeek概念、量子通信、人工智能、物联网、eSIM、机器人概念、卫星互联网、数据要素、数据安全、深海经济、6G概念、移动支付、低空经济、算力概念、华为云、卫星通信、超清视频、算力芯片、AIGC概念、商业航天、算电协同、苹果概念、国产替代、光纤概念、grok、腾讯云、云电脑、服贸会、WiFi、智谱AI、阿里巴巴概念、大数据、RDA概念股,通信-通信服务-电信运营商,1.71亿,通信-通信服务-电信运营商,国资云概念、区块链、5G概念、IPv6、上证180_、标准普尔、华为概念、通信技术、HS300_、算力租赁、央国企改革、智能家居、DeepSeek概念、中国AI 50、量子通信、人工智能、中字头、富时罗素、物联网、MSCI中国、阿里概念、量子科技、卫星互联网、数据要素、破增发价股、云计算、数据安全、6G概念、移动支付、融资融券、低空经济、算力概念、超清视频、沪股通、商业航天、大盘股、价值股、数据中心、上证50_、卫星导航、一带一路、中特估、大盘价值、WiFi、参股银行、大数据,-0.020,4.57,4.52,0.45,1.01,1.38亿,6.29亿,16.53,0.8278,1413.15亿,1400.77亿
10,600019,宝钢股份,SH,6.31,-2.62,A股,符合,区块链、贸易战、海工装备、西部大开发、ai应用、特钢、HALO概念、变压器、钢铁供改、朱雀三号、人工智能、低碳冶金、雅下水电、深海经济、破净高股息、智能制造、碳交易、生意社、反内卷概念、新能源、国产航母、破冰船、灯塔工厂、关税、供给侧改革、资源循环、可控核聚变、一带一路、钢材、特斯拉概念,钢铁-普钢-板材,1.56亿,钢铁-普钢-板材,区块链、周期股、上证180_、证金持股、新能源车、长期破净、标准普尔、红利破净股、AI智能体、HS300_、核能核电、央国企改革、富时罗素、航母概念、MSCI中国、低碳冶金、红利股、融资融券、石墨电极、行业龙头、高股息精选、沪股通、大盘股、价值股、反内卷概念、一带一路、中特估、大盘价值、特钢概念、中欧经济一体化、长江三角、参股银行、特斯拉概念,-0.170,6.50,6.29,0.74,1.96,1.62亿,10.26亿,15.45,0.6598,1374.45亿,1374.45亿
