序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,区间振幅(%) 2026.05.06 - 2026.05.08,区间换手率(%) 2026.05.06 - 2026.05.08,RSI1(6日) 2026.05.08,MACD值 2026.05.08,ST股票,阶段强势股 2026.05.08,概念,收盘价(日线不复权)(元) 2026.05.08,成交额(元) 2026.05.08,流通市值(元) 2026.05.08,东财行业总分类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,总市值(元) 2026.05.08
1,688041,海光信息,SH,323.28,-5.36,11.98,6.87,65.92,14.90,否,符合,国产芯片、专精特新、东数西算、上证180_、CPU、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、MSCI中国、阿里概念、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、抖音概念(字节概念)、阿里系算力,323.28,162.43亿,7514.12亿,电子-半导体-数字芯片设计,-18.320,338.56,320.01,2.15,1.11,4997.06万,273.40,31.9785,7514.12亿
2,688256,DR寒武纪,SH,1182.53,-5.60,9.43,10.34,74.81,70.00,否,符合,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、中国AI 50、国产操作系统、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,1182.53,225.79亿,7429.75亿,电子-半导体-数字芯片设计,-70.150,1220.00,1158.01,3.04,1.46,1910.24万,183.32,60.7064,7429.75亿
3,300476,胜宏科技,SZ,358.66,6.09,12.79,19.00,75.03,3.98,否,符合,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、百日新高 、CPO概念、摩尔链、OLED、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、融资融券、行业龙头、深股通、近期新高、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、历史新高 、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,358.66,200.51亿,3103.11亿,电子-元件-印制电路板,20.600,367.01,333.03,6.47,1.21,5596.82万,68.39,22.5030,3524.86亿
4,002384,东山精密,SZ,211.39,0.15,14.88,20.07,92.44,4.67,否,符合,国产芯片、光芯片、LED概念、2026—季报预增、5G概念、周期股、深证100R、昨日高振幅、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、最近多板、通信技术、东方财富热股、创投、智能穿戴、消费电子概念、HS300_、大盘成长、百日新高 、CPO概念、OLED、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、近期新高、昨日首板、大盘股、苹果概念、PCB、数据中心、历史新高 、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,211.39,187.77亿,2930.55亿,电子-元件-印制电路板,0.320,213.58,206.01,6.46,1.02,8953.93万,87.21,17.1035,3871.84亿
5,688008,澜起科技,SH,210.27,0.17,14.42,22.76,88.08,11.53,否,符合,国产芯片、AIPC、上证180_、贬值受益、CPU、存储芯片、AI芯片、消费电子概念、HS300_、大盘成长、中芯概念、人工智能、富时罗素、2025年报预增、MSCI中国、云计算、数据安全、融资融券、算力概念、沪股通、半导体概念、大盘股、数据中心、上证50_、DRAM存储,210.27,130.03亿,2410.59亿,电子-半导体-数字芯片设计,0.360,212.19,203.68,5.44,0.82,6238.45万,75.82,12.3283,2569.92亿
6,688981,中芯国际,SH,120.31,-4.01,6.80,14.22,63.16,3.81,否,符合,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、OLED、物联网、MSCI中国、汽车电子、上海自贸,120.31,85.96亿,2405.67亿,电子-半导体-集成电路制造,-5.030,123.19,120.05,3.54,0.83,7086.18万,191.25,6.3920,9640.59亿
7,603986,兆易创新,SH,334.10,-4.59,8.74,20.78,65.55,10.87,否,符合,国产芯片、上证180_、贬值受益、存储芯片、标准普尔、小米概念、最近多板、智能穿戴、消费电子概念、HS300_、大盘成长、SRAM存储、人工智能、央视50_、富时罗素、MCU芯片、物联网、MSCI中国、融资融券、AI眼镜、超清视频、沪股通、半导体概念、大盘股、光伏概念、长鑫存储、人形机器人、锂电池概念、汽车芯片、传感器、无线耳机、汽车电子、DRAM存储,334.10,148.21亿,2231.27亿,电子-半导体-数字芯片设计,-16.060,343.30,331.80,6.60,0.95,4408.33万,40.08,9.2682,2342.38亿
8,002463,沪电股份,SZ,108.71,1.24,8.80,9.90,77.34,0.79,否,符合,国产芯片、2026—季报预增、5G概念、周期股、深证100R、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、污水处理、HS300_、大盘成长、毫米波概念、无人驾驶、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,108.71,60.79亿,2090.29亿,电子-元件-印制电路板,1.330,111.36,105.18,2.90,0.97,5583.76万,42.11,13.2172,2091.98亿
9,600111,北方稀土,SH,54.75,-1.01,7.48,15.50,71.95,1.58,否,符合,专精特新、2026—季报预增、周期股、西部大开发、上证180_、标准普尔、电池技术、HS300_、2025三季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国、军工、稀土永磁、稀缺资源、融资融券、沪股通、金属回收、大盘股、冶炼分离、稀土开采、氢能源、上证50_、新材料、锂电池概念,54.75,77.09亿,1979.25亿,有色金属-小金属-稀土,-0.560,55.35,53.89,3.91,0.76,1.41亿,53.92,7.7364,1979.25亿
10,600183,生益科技,SH,82.00,0.00,6.99,5.99,80.95,2.12,否,符合,国产芯片、5G概念、周期股、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、HS300_、大盘成长、2025三季报预增、毫米波概念、CPO概念、富时罗素、2025年报预增、MSCI中国、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、先进封装材料、汽车电子、MiniLED,82.00,31.25亿,1963.49亿,电子-元件-印制电路板,0.000,84.15,80.10,1.59,0.66,3803.22万,43.00,11.1106,1991.88亿
